t,x,y,z,w
1575299766209,-0.04618,-0.01304,-0.15839,0.25022
1575299766295,-0.03460,-0.01707,-0.15219,0.25563
1575299766379,-0.02320,-0.02293,-0.14811,0.25884
1575299766480,-0.01853,-0.02546,-0.14767,0.25923
1575299766555,-0.01703,-0.02509,-0.14845,0.25893
1575299766654,-0.01693,-0.02601,-0.14836,0.25889
1575299766751,-0.01635,-0.02638,-0.14918,0.25842
1575299766829,-0.01302,-0.02501,-0.15024,0.25814
1575299766912,-0.01181,-0.02373,-0.15027,0.25830
1575299767009,-0.01288,-0.02183,-0.15092,0.25804
1575299767094,-0.01398,-0.02063,-0.15124,0.25789
1575299767181,-0.01533,-0.02083,-0.15167,0.25754
1575299767277,-0.01629,-0.01888,-0.15349,0.25655
1575299767365,-0.01478,-0.01530,-0.15564,0.25559
1575299767460,-0.01388,-0.01160,-0.15644,0.25534
1575299767545,-0.01519,-0.01046,-0.15637,0.25536
1575299767650,-0.01683,-0.01142,-0.15591,0.25550
1575299767717,-0.01606,-0.01291,-0.15571,0.25560
1575299767808,-0.01400,-0.01419,-0.15625,0.25532
1575299767892,-0.01358,-0.01449,-0.15674,0.25502
1575299767990,-0.01300,-0.01442,-0.15767,0.25449
1575299768073,-0.01248,-0.01401,-0.15864,0.25393
1575299768162,-0.01364,-0.01336,-0.15877,0.25382
1575299768286,-0.01486,-0.01238,-0.15918,0.25355
1575299768451,-0.01570,-0.01108,-0.16018,0.25293
1575299768726,-0.01748,-0.00899,-0.16052,0.25268
1575299768865,-0.01957,-0.00742,-0.16095,0.25230
1575299769003,-0.02053,-0.00643,-0.16074,0.25239
1575299769146,-0.02171,-0.00513,-0.16082,0.25227
1575299769170,-0.02294,-0.00384,-0.16114,0.25198
1575299769194,-0.02388,-0.00305,-0.16092,0.25204
1575299769218,-0.02438,-0.00255,-0.16068,0.25215
1575299769241,-0.02508,-0.00179,-0.16073,0.25206
1575299769263,-0.02526,-0.00140,-0.16076,0.25202
1575299769365,-0.02518,-0.00122,-0.16050,0.25220
1575299769443,-0.02509,-0.00114,-0.16027,0.25236
1575299769464,-0.02461,-0.00143,-0.16022,0.25243
